source_id,title,cluster,category,paper_type,local_pdf,source_url,note
8,Circadian rhythm disruption and mental health,Biological & Lifestyle,Sleep Hygiene,Clinical Practice Guideline,apps/mindful-rag/data/raw/research_papers/Circadian rhythm disruption and mental health.pdf,,
31,Nutritional medicine as mainstream in psychiatry: Consensus position statement,Biological & Lifestyle,Dietary habits,Clinical Practice Guideline,apps/mindful-rag/data/raw/research_papers/Nutritional medicine as mainstream in psychiatry- Consensus position statement.pdf,https://www.universiteitleiden.nl/binaries/content/assets/sociale-wetenschappen/psychologie/studenten/werving/proefcollege-isnpr-lancet-psychiatry.pdf,
3,EPA guidance on physical activity as a treatment for severe mental illness,Biological & Lifestyle,Physical Activity,Clinical Practice Guideline,apps/mindful-rag/data/raw/research_papers/EPA guidance on physical activity as a treatment for severe mental illness.pdf,https://pubmed.ncbi.nlm.nih.gov/30257806/,
23,Exercise as medicine for depressive symptoms? A systematic review and meta-analysis,Biological & Lifestyle,Physical Activity,Meta-Analysis,apps/mindful-rag/data/raw/research_papers/Exercise as medicine for depressive symptoms? A systematic review and meta-analysis.pdf,,
24,"The Effect of Lifestyle Interventions on Anxiety, Depression and Stress: A Systematic Review and Meta-Analysis of Randomized Clinical Trials",Biological & Lifestyle,Sleep Hygiene,Meta-Analysis,"apps/mindful-rag/data/raw/research_papers/The Effect of Lifestyle Interventions on Anxiety, Depression and Stress- A Systematic Review and Meta-Analysis of Randomized Clinical Trials.pdf",,
25,Improving sleep quality leads to better mental health: A meta-analysis of randomised controlled trials,Biological & Lifestyle,Sleep Hygiene,Meta-Analysis,apps/mindful-rag/data/raw/research_papers/Improving sleep quality leads to better mental health- A meta-analysis of randomised controlled trials.pdf,,
30,The Effects of Dietary Improvement on Symptoms of Depression and Anxiety: A Meta-Analysis of Randomized Controlled Trials,Biological & Lifestyle,Dietary habits,Meta-Analysis,apps/mindful-rag/data/raw/research_papers/The Effects of Dietary Improvement on Symptoms of Depression and Anxiety- A Meta-Analysis of Randomized Controlled Trials.pdf,,
8,Healthy dietary indices and risk of depressive outcomes: a systematic review and meta-analysis,Biological & Lifestyle,Dietary habits,Meta-Analysis,apps/mindful-rag/data/raw/research_papers/Healthy dietary indices and risk of depressive outcomes- a systematic review and meta-analysis.pdf,,
9,The Effect of Mindfulness-based Programs on Cognitive Function in Adults,Biological & Lifestyle,Physical Activity,Meta-Analysis,apps/mindful-rag/data/raw/research_papers/The Effect of Mindfulness-based Programs on Cognitive Function in Adults.pdf,https://pubmed.ncbi.nlm.nih.gov/34350544/,
11,A modified Mediterranean dietary intervention for adults with major depression: Dietary protocol and feasibility data from the SMILES trial,Biological & Lifestyle,Dietary habits,Protocol,apps/mindful-rag/data/raw/research_papers/A modified Mediterranean dietary intervention for adults with major depression- Dietary protocol and feasibility data from the SMILES trial.pdf,,
