ID,Cluster,Category (The Folder),Paper Title,Paper Type,Main Mechanism (Tags),Filename/Link,Matched PDF,Match Score,Match Method
8.0,Biological & Lifestyle,Sleep Hygiene,Circadian rhythm disruption and mental health,Clinical Practice Guideline,"Circadian Clock, Light Exposure, Mood",file:///Users/sanskriti/Downloads/Circadianrhythmdisruptionandmentalhealth.pdf ,Circadian rhythm disruption and mental health.pdf,100,exact_normalized
31.0,Biological & Lifestyle,Dietary habits,Nutritional medicine as mainstream in psychiatry: Consensus position statement,Clinical Practice Guideline,,https://www.universiteitleiden.nl/binaries/content/assets/sociale-wetenschappen/psychologie/studenten/werving/proefcollege-isnpr-lancet-psychiatry.pdf ,Nutritional medicine as mainstream in psychiatry- Consensus position statement.pdf,100,exact_normalized
,Biological & Lifestyle,Physical Activity,EPA guidance on physical activity as a treatment for severe mental illness,Clinical Practice Guideline,, https://pubmed.ncbi.nlm.nih.gov/30257806/,EPA guidance on physical activity as a treatment for severe mental illness.pdf,100,exact_normalized
23.0,Biological & Lifestyle,Physical Activity,Exercise as medicine for depressive symptoms? A systematic review and meta-analysis,Meta-Analysis,,,Exercise as medicine for depressive symptoms? A systematic review and meta-analysis.pdf,100,exact_normalized
24.0,Biological & Lifestyle,Sleep Hygiene,"The Effect of Lifestyle Interventions on Anxiety, Depression and Stress: A Systematic Review and Meta-Analysis of Randomized Clinical Trials",Meta-Analysis,"Circadian Rhythm, Stimulus Control",AASM_Insomnia.pdf,"The Effect of Lifestyle Interventions on Anxiety, Depression and Stress- A Systematic Review and Meta-Analysis of Randomized Clinical Trials.pdf",100,exact_normalized
25.0,Biological & Lifestyle,Sleep Hygiene,Improving sleep quality leads to better mental health: A meta-analysis of randomised controlled trials,Meta-Analysis,"High Evidence: Sleep Quality, Depression, Anxiety",Improving sleep quality...,Improving sleep quality leads to better mental health- A meta-analysis of randomised controlled trials.pdf,100,exact_normalized
30.0,Biological & Lifestyle,Dietary habits,The Effects of Dietary Improvement on Symptoms of Depression and Anxiety: A Meta-Analysis of Randomized Controlled Trials,Meta-Analysis,,,The Effects of Dietary Improvement on Symptoms of Depression and Anxiety- A Meta-Analysis of Randomized Controlled Trials.pdf,100,exact_normalized
,Biological & Lifestyle,Dietary habits,Healthy dietary indices and risk of depressive outcomes: a systematic review and meta-analysis,Meta-Analysis,,,Healthy dietary indices and risk of depressive outcomes- a systematic review and meta-analysis.pdf,100,exact_normalized
,Biological & Lifestyle,Physical Activity,The Effect of Mindfulness-based Programs on Cognitive Function in Adults,Meta-Analysis,,https://pubmed.ncbi.nlm.nih.gov/34350544/,The Effect of Mindfulness-based Programs on Cognitive Function in Adults.pdf,100,exact_normalized
11.0,Biological & Lifestyle,Dietary habits,A modified Mediterranean dietary intervention for adults with major depression: Dietary protocol and feasibility data from the SMILES trial,Protocol,,,A modified Mediterranean dietary intervention for adults with major depression- Dietary protocol and feasibility data from the SMILES trial.pdf,100,exact_normalized
26.0,Biological & Lifestyle,Sleep Hygiene,"Sleep physiology, pathophysiology, and sleep hygiene",Protocol,"Contains Actionable Info: Sleep Hygiene Rules, Physiology",Sleep physiology...,"Sleep physiology, pathophysiology, and sleep hygiene.pdf",100,exact_normalized
,Biological & Lifestyle,Dietary habits,Feed your microbes to deal with stress: a psychobiotic diet impacts microbial stability and perceived stress in a healthy adult population,Protocol,,,Feed your microbes to deal with stress- a psychobiotic diet impacts microbial stability and perceived stress in a healthy adult population.pdf,100,exact_normalized
,Biological & Lifestyle,Sleep Hygiene,Sleep Restriction Therapy,Protocol,,https://www.med.upenn.edu/cbti/assets/user-content/documents/btsd--advancedsleeprestriction-spielman.pdf,Sleep Restriction Therapy.pdf,100,exact_normalized
,Biological & Lifestyle,Physical Activity,HIIT as a Tool for Improving Mental Health and Cognition,Protocol,,https://www.researchgate.net/publication/354287956_HIIT_as_a_Tool_for_Improving_Mental_Health_and_Cognition,HIIT as a Tool for Improving Mental Health and Cognition.pdf,100,exact_normalized
,Biological & Lifestyle,Physical Activity,Treatment of Major Depressive Disorder with Iyengar Yoga and Coherent Breathing,Protocol,,https://pubmed.ncbi.nlm.nih.gov/28296480/,Treatment of Major Depressive Disorder with Iyengar Yoga and Coherent Breathing.pdf,100,exact_normalized
7.0,Cognitive & Psychological,Biofeedback,Sustained attention in adult ADHD: time-on-task effects of various measures of attention,Clinical Practice Guideline,"Autonomic Control, Vigilance Monitoring",,Sustained attention in adult ADHD- time-on-task effects of various measures of attention.pdf,100,exact_normalized
10.0,Cognitive & Psychological,Cognitive Behavioral Therapy,"Behavioural activation: history, evidence and promise",Clinical Practice Guideline,Behavioral Activation Theory,,"Behavioural activation- history, evidence and promise.pdf",100,exact_normalized
18.0,Cognitive & Psychological,Mindfulness/Meditation,"Human Attention Restoration, Flow, and Creativity: A Conceptual Integration",Clinical Practice Guideline,Attention Restoration Theory (ART),,"Human Attention Restoration, Flow, and Creativity A Conceptual Integration.pdf",100,exact_normalized
19.0,Cognitive & Psychological,Mindfulness/Meditation,Effortless training of attention and self-control: Mechanisms and applications,Clinical Practice Guideline,"Parasympathetic Dominance, ACC Control",,Effortless training of attention and self-control- Mechanisms and applications.pdf,100,exact_normalized
9.0,Cognitive & Psychological,Cognitive Behavioral Therapy,Behavioral activation for children and adolescents: a systematic review of progress and promise,Meta-Analysis,"Positive Reinforcement, Activity Scheduling",,Behavioral activation for children and adolescents a systematic review of progress and promise.pdf,100,exact_normalized
,Cognitive & Psychological,Biofeedback,Heart Rate Variability Biofeedback Improves Emotional and Physical Health and Performance: A Systematic Review and Meta Analysis,Meta-Analysis,,https://pubmed.ncbi.nlm.nih.gov/32385728/,Heart Rate Variability Biofeedback Improves Emotional and Physical Health and Performance- A Systematic Review and Meta Analysis.pdf,100,exact_normalized
