case_id,participant_id,date,calendar_context,behavior_context,key_observations,rating_instruction,option_A_recommendation,option_A_reason,option_B_recommendation,option_B_reason,preferred_option_A_or_B,A_relevance_1_5,B_relevance_1_5,A_behavioral_alignment_1_5,B_behavioral_alignment_1_5,A_feasibility_1_5,B_feasibility_1_5,A_safety_1_5,B_safety_1_5,notes
S001,P001,2026-03-10,08:30-09:45 class (fixed); 10:30-11:15 project meeting (fixed); 15:00-17:00 study block (flexible); 21:00-22:30 optional work session (flexible),Sleep onset is drifting later alongside increased late-night screen use — a phone-mediated sleep-delay pattern. Evening calendar density and wind-down timing are plausible leverage points.,Sleep onset has been around 23:57 (about 0.7h later than typical 23:17); (yesterday only); Sleep has averaged 7.0h (0.4h shorter than typical 7.4h); drifting over the last 3d; Late-night screen use up 86% vs personal baseline (56min vs typical 30min); (yesterday only),"Compare Option A and Option B. Pick the option that is more useful, behavior-aware, feasible, and safe for this day.",Cap the 'optional work session' at 21:45 and add a 15-min Wind-down buffer block (21:45–22:00) as a soft reminder to close screens before the session ends,"The optional work session ends at 22:30, leaving under an hour before the user's baseline sleep onset (~23:17). Given that late-night screen use spiked yesterday and sleep onset drifted later, ending active screen work earlier and inserting a brief transition block reduces the risk of the session spilling into the delay window.",Preserve study block but leave its exact start time adjustable.,"Without behavioral context, the safest recommendation is to maintain flexibility around a non-fixed event.",A,5,3,5,1,4,5,5,5,A directly protects the late-evening work block tied to sleep delay; B is safe but generic.
S002,P001,2026-03-11,08:30-09:45 class (fixed); 10:30-11:15 project meeting (fixed); 15:00-17:00 study block (flexible); 21:00-22:30 optional work session (flexible),Sleep onset is drifting later alongside increased late-night screen use — a phone-mediated sleep-delay pattern. Evening calendar density and wind-down timing are plausible leverage points.; Sleep schedule consistency has dropped; circadian rhythm is less stable than typical. Anchoring morning wake time and fixed daily events can help.,Sleep onset has been around 00:28 (about 1.2h later than typical 23:18); drifting over the last 3d; Sleep has averaged 6.7h (0.7h shorter than typical 7.4h); drifting over the last 3d; Sleep schedule has been less consistent (SRI 75 vs typical 84); drifting over the last 3d,"Compare Option A and Option B. Pick the option that is more useful, behavior-aware, feasible, and safe for this day.","End or convert the 'optional work session' (currently 21:00–22:30) to a hard stop at 21:30, freeing 21:30–22:30 as an unplugged wind-down block","The optional work session runs until 22:30, which directly overlaps with the late-night screen window driving delayed sleep onset. Capping active screen work at 21:30 and protecting the following hour as screen-light reduces the primary driver of the sleep delay pattern. The event is already marked flexible, so this is a low-disruption change.",Keep study block flexible and add a 15-minute buffer before it.,The calendar has several obligations; a small buffer is a low-burden adjustment.,A,5,3,5,1,4,5,5,5,A addresses late work and wind-down timing; B only adds a generic buffer.
S003,P001,2026-03-12,08:30-09:45 class (fixed); 10:30-11:15 project meeting (fixed); 15:00-17:00 study block (flexible); 21:00-22:30 optional work session (flexible),Sleep onset is drifting later alongside increased late-night screen use — a phone-mediated sleep-delay pattern. Evening calendar density and wind-down timing are plausible leverage points.; Sleep schedule consistency has dropped; circadian rhythm is less stable than typical. Anchoring morning wake time and fixed daily events can help.; Attention is more fragmented while sleep is shorter — attention costs typically rise when sleep debt accumulates. Worth protecting sleep opportunity over discretionary evening commitments.,Sleep onset has been around 01:04 (about 1.8h later than typical 23:18); sustained across the last 3d; Sleep has averaged 6.3h (1.1h shorter than typical 7.4h); sustained across the last 3d; Sleep schedule has been less consistent (SRI 70 vs typical 84); sustained across the last 3d,"Compare Option A and Option B. Pick the option that is more useful, behavior-aware, feasible, and safe for this day.",Add a short transition buffer after study block if the day feels crowded.,"The calendar includes multiple commitments, so a small transition buffer may reduce schedule friction.",Replace or end the 'optional work session' (21:00–22:30) by 21:30 and add a Wind-down block from 21:30–22:30 — screen-free or low-stimulation activity only.,Late-night screen use is running 260% above baseline and is the most direct driver of the delayed sleep onset. The optional work session occupies exactly the window where screen activity is spiking. Capping it at 21:30 and protecting the remainder as wind-down time removes the primary opportunity for late-night screen use without touching any fixed commitments.,B,3,5,1,5,5,4,5,5,B targets the optional evening work session and late screen use; A is not behavior-specific.
S004,P002,2026-03-10,08:30-09:45 class (fixed); 10:30-11:15 project meeting (fixed); 15:00-17:00 study block (flexible); 20:00-22:00 deadline work block (flexible),Location routine has narrowed and time concentrated at frequent places — a behavioral-withdrawal pattern often associated with lower mood and reduced third-place engagement.,Location routine more restricted than baseline (entropy 1.48 vs 1.87); drifting over the last 3d; More time at top-3 frequent places (70% vs typical 58%); (yesterday only),"Compare Option A and Option B. Pick the option that is more useful, behavior-aware, feasible, and safe for this day.",Add a short 'Change of scenery' walk or errand block (15–20 min) between the project meeting and the afternoon study block,A brief excursion to a less-frequented location during the natural gap in the schedule (11:15–15:00) is a low-effort way to interrupt the narrowing location routine without touching any fixed events or the evening deadline block.,Add a short transition buffer after study block if the day feels crowded.,"The calendar includes multiple commitments, so a small transition buffer may reduce schedule friction.",A,5,3,5,1,5,5,5,5,A adds a low-burden change-of-scenery block aligned with narrowed mobility.
S005,P002,2026-03-11,08:30-09:45 class (fixed); 10:30-11:15 project meeting (fixed); 15:00-17:00 study block (flexible); 20:00-22:00 deadline work block (flexible),Location routine has narrowed and time concentrated at frequent places — a behavioral-withdrawal pattern often associated with lower mood and reduced third-place engagement.,"Total screen time elevated (279min/day vs typical 242min, +15%); drifting over the last 3d; Location routine more restricted than baseline (entropy 1.14 vs 1.87); drifting over the last 3d; More time at top-3 frequent places (81% vs typical 58%); intermittently (2d of 3)","Compare Option A and Option B. Pick the option that is more useful, behavior-aware, feasible, and safe for this day.",Preserve study block but leave its exact start time adjustable.,"Without behavioral context, the safest recommendation is to maintain flexibility around a non-fixed event.","Add a 15-min 'Step outside / change of scene' prompt block on a mid-week morning or lunch slot (e.g., 12:30–12:45) on a day with no back-to-back fixed commitments","Mobility entropy has narrowed pronouncedly over 3 days. A brief, low-effort prompt to leave the top-3 familiar locations — even a short walk — directly targets the location-narrowing component of the behavioral-withdrawal pattern without requiring significant schedule restructuring.",B,3,5,1,5,5,5,5,5,B directly responds to restricted mobility with a brief outdoor/change-of-scene prompt.
S006,P002,2026-03-12,08:30-09:45 class (fixed); 10:30-11:15 project meeting (fixed); 15:00-17:00 study block (flexible); 20:00-22:00 deadline work block (flexible),Location routine has narrowed and time concentrated at frequent places — a behavioral-withdrawal pattern often associated with lower mood and reduced third-place engagement.,"Total screen time elevated (293min/day vs typical 241min, +22%); sustained across the last 3d; Location routine more restricted than baseline (entropy 0.78 vs 1.86); sustained across the last 3d; More time at top-3 frequent places (92% vs typical 58%); sustained across the last 3d","Compare Option A and Option B. Pick the option that is more useful, behavior-aware, feasible, and safe for this day.","Add a short 'get outside' walk or errand block (20–30 min) before the evening work block, e.g. 19:30–20:00","Mobility entropy has been pronounced-low for 3 days with nearly all time at top-3 familiar places. A brief, low-effort out-of-home slot introduces location variety without requiring a large schedule change, and acts as a natural daily anchor that can help re-regularize routine timing.",Keep study block flexible and add a 15-minute buffer before it.,The calendar has several obligations; a small buffer is a low-burden adjustment.,A,5,3,5,1,5,5,5,5,A is specific to mobility narrowing; B is a generic calendar buffer.
S007,P003,2026-03-10,08:30-09:45 class (fixed); 10:30-11:15 project meeting (fixed); 15:00-17:00 study block (flexible); 21:00-22:30 optional work session (flexible),Sleep schedule consistency has dropped; circadian rhythm is less stable than typical. Anchoring morning wake time and fixed daily events can help.,Sleep schedule has been less consistent (SRI 78 vs typical 86); (yesterday only); Daily routine timing less regular (SRM 0.74 vs typical 0.83); (yesterday only),"Compare Option A and Option B. Pick the option that is more useful, behavior-aware, feasible, and safe for this day.",Keep study block flexible and add a 15-minute buffer before it.,The calendar has several obligations; a small buffer is a low-burden adjustment.,"Add a short Wind-down block at 22:30 (15–20 min) after the optional work session — e.g., 'Screen-off / wind-down' — to create a consistent sleep-prep anchor tonight.","The optional work session ends at 22:30, which is already a late anchor. Adding a brief, consistent wind-down ritual at the same time each night helps re-stabilize both sleep onset timing and daily routine regularity, directly addressing the mild circadian drift observed yesterday. It is low-burden and does not require moving any fixed events.",B,3,4,1,4,5,4,5,5,B offers a consistent wind-down anchor for circadian instability; A does not use behavior context.
S008,P003,2026-03-11,08:30-09:45 class (fixed); 10:30-11:15 project meeting (fixed); 15:00-17:00 study block (flexible); 21:00-22:30 optional work session (flexible),Sleep schedule consistency has dropped; circadian rhythm is less stable than typical. Anchoring morning wake time and fixed daily events can help.,Sleep onset has been around 00:16 (about 0.9h later than typical 23:24); (yesterday only); Sleep schedule has been less consistent (SRI 70 vs typical 86); intermittently (2d of 3); Daily routine timing less regular (SRM 0.65 vs typical 0.83); intermittently (2d of 3),"Compare Option A and Option B. Pick the option that is more useful, behavior-aware, feasible, and safe for this day.","Convert or cap the 'optional work session' (21:00–22:30) to end by 21:45, and add a Wind-down block from 21:45–22:15 on evenings this week","The optional work session running to 22:30 is the most likely contributor to the delayed sleep onset (~00:16 last night). Ending active work by 21:45 and inserting a consistent wind-down block creates a stable pre-sleep anchor, which directly addresses both the sleep onset drift and the social rhythm irregularity by giving the evening a predictable close.",Add a short transition buffer after study block if the day feels crowded.,"The calendar includes multiple commitments, so a small transition buffer may reduce schedule friction.",A,5,3,5,1,4,5,5,5,A caps late optional work and adds a stable wind-down block; B is generic.
S009,P003,2026-03-12,08:30-09:45 class (fixed); 10:30-11:15 project meeting (fixed); 15:00-17:00 study block (flexible); 21:00-22:30 optional work session (flexible),Sleep schedule consistency has dropped; circadian rhythm is less stable than typical. Anchoring morning wake time and fixed daily events can help.,Sleep onset has been around 00:22 (about 1.0h later than typical 23:24); intermittently (1d of 3); Sleep has averaged 6.9h (0.6h shorter than typical 7.4h); intermittently (2d of 3); Sleep schedule has been less consistent (SRI 61 vs typical 86); sustained across the last 3d,"Compare Option A and Option B. Pick the option that is more useful, behavior-aware, feasible, and safe for this day.",Preserve study block but leave its exact start time adjustable.,"Without behavioral context, the safest recommendation is to maintain flexibility around a non-fixed event.","Convert tonight's 'optional work session' (21:00–22:30) to end no later than 21:45, and add a 'Wind-down' block from 21:45–22:30 in its place","The optional work session currently runs until 22:30, leaving very little buffer before the observed ~00:22 sleep onset. Capping active work at 21:45 and protecting the remaining 45 minutes as a wind-down boundary creates a consistent nightly anchor that can help pull sleep onset earlier and stabilize the SRI over the coming days.",B,3,5,1,5,5,4,5,5,B maps clearly to delayed sleep and evening schedule; A is not behavior-aware.
S010,P004,2026-03-10,08:30-09:45 class (fixed); 10:30-11:15 project meeting (fixed); 15:00-17:00 study block (flexible); 13:00-14:00 lab prep (flexible); 19:30-21:30 problem set work (flexible),Attention is more fragmented while sleep is shorter — attention costs typically rise when sleep debt accumulates. Worth protecting sleep opportunity over discretionary evening commitments.,Sleep has averaged 7.1h (0.5h shorter than typical 7.6h); (yesterday only); Attention pattern more fragmented than baseline (1.4 vs 1.0 switches/active-min); (yesterday only),"Compare Option A and Option B. Pick the option that is more useful, behavior-aware, feasible, and safe for this day.",Add a 'Wind-down / screens off' block at 22:00–22:30 after the problem-set work ends,The problem-set block runs until 21:30. Adding a short wind-down buffer before midnight helps guard against the pattern where evening screen use or continued work delays sleep onset — relevant given the mild sleep shortfall observed yesterday. Keeping it to 30 minutes respects the low-burden preference.,Preserve study block but leave its exact start time adjustable.,"Without behavioral context, the safest recommendation is to maintain flexibility around a non-fixed event.",A,4,3,4,1,5,5,5,5,"A adds a sleep-protective wind-down block, though less directly tied than some other cases."
