case_id,option,participant_id,date,calendar_summary,layer_1_3_patterns_for_context,layer_4_patterns_for_context,recommendation,reason,grounded_in,safety_note,relevance_1_5,behavioral_alignment_1_5,feasibility_1_5,safety_1_5,specificity_1_5,overall_preferred_A_or_B
S001,A,P001,2026-03-10,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),phone-mediated-sleep-delay,phone-mediated-sleep-delay,"End the 'optional work session' by 21:45 at the latest, and add a short Wind-down block from 21:45–22:15 (no work screens)","The optional work session currently runs until 22:30, which overlaps with the window where late-night screen use has been elevated. Capping active screen work ~45 min earlier and inserting a brief screen-free wind-down creates a buffer before the target sleep window, directly addressing the mechanism behind the phone-mediated-sleep-delay pattern.","phone-mediated-sleep-delay, late_night_screen_min, sleep_onset_hour","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S001,B,P001,2026-03-10,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),phone-mediated-sleep-delay,,Preserve study block but leave its exact start time adjustable.,"Without behavioral context, the safest recommendation is to maintain flexibility around a non-fixed event.",,No fixed obligations were changed.,,,,,,
S002,A,P001,2026-03-11,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),"phone-mediated-sleep-delay, circadian-instability","phone-mediated-sleep-delay, circadian-instability, fragmented-attention-with-sleep-loss","Convert tonight's 'optional work session' (21:00–22:30) to end by 21:45, and add a 'Wind-down — screens off' block from 21:45 to 22:30","Late-night screen use has been running 78 min on 2 of the last 3 nights, directly overlapping this optional session window. Capping active screen work at 21:45 and protecting the remaining time as a wind-down buffer targets the most proximate driver of the delayed sleep onset, without cancelling the work session entirely.","phone-mediated-sleep-delay, late_night_screen_min, sleep_onset_hour","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S002,B,P001,2026-03-11,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),"phone-mediated-sleep-delay, circadian-instability",,Keep study block flexible and add a 15-minute buffer before it.,The calendar has several obligations; a small buffer is a low-burden adjustment.,,No behavioral or clinical inference was made.,,,,,,
S003,A,P001,2026-03-12,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),"phone-mediated-sleep-delay, circadian-instability, fragmented-attention-with-sleep-loss",,Add a short transition buffer after study block if the day feels crowded.,"The calendar includes multiple commitments, so a small transition buffer may reduce schedule friction.",,This suggestion is based only on calendar structure.,,,,,,
S003,B,P001,2026-03-12,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),"phone-mediated-sleep-delay, circadian-instability, fragmented-attention-with-sleep-loss","phone-mediated-sleep-delay, circadian-instability, fragmented-attention-with-sleep-loss","Add a 'Wind-down — screens off' block at 22:30, replacing or capping the tail of the optional work session","Late-night screen use is 260% above baseline and has been the sustained driver of the ~1.8h sleep-onset delay. Ending the optional work session at 22:30 and marking it as a hard screen-off point creates a buffer before a target sleep onset closer to baseline (~23:15–23:30). The work session is already marked flexible, so this is a low-disruption change.","phone-mediated-sleep-delay, late_night_screen_min, sleep_onset_hour","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S004,A,P002,2026-03-10,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 20:00 deadline work block (flexible),behavioral-withdrawal,behavioral-withdrawal,"Relocate the afternoon study block (15:00–17:00) to a different venue — a library, café, or campus common area — rather than the usual spot","The 3-day drift toward fewer distinct locations suggests routine has narrowed. Shifting a flexible, already-scheduled block to a different physical space adds location variety with zero extra time cost, directly countering the withdrawal pattern without adding burden.","behavioral-withdrawal, mobility_entropy","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S004,B,P002,2026-03-10,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 20:00 deadline work block (flexible),behavioral-withdrawal,,Add a short transition buffer after study block if the day feels crowded.,"The calendar includes multiple commitments, so a small transition buffer may reduce schedule friction.",,This suggestion is based only on calendar structure.,,,,,,
S005,A,P002,2026-03-11,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 20:00 deadline work block (flexible),behavioral-withdrawal,,Preserve study block but leave its exact start time adjustable.,"Without behavioral context, the safest recommendation is to maintain flexibility around a non-fixed event.",,No fixed obligations were changed.,,,,,,
S005,B,P002,2026-03-11,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 20:00 deadline work block (flexible),behavioral-withdrawal,"behavioral-withdrawal, screen-time-creep-with-routine-loss",Add a recurring 'Get outside / change of scene' block at 12:30 (30 min) on days with no fixed midday commitments,"Mobility entropy is down sharply and location time is concentrated at familiar places. A brief, low-commitment midday prompt to leave the primary location on unstructured days directly targets the location-contraction component of the withdrawal cluster without requiring a large schedule change.","behavioral-withdrawal, mobility_entropy, location_revisit_ratio","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S006,A,P002,2026-03-12,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 20:00 deadline work block (flexible),behavioral-withdrawal,behavioral-withdrawal,Add a short 'step outside' break block (15 min walk or errand outside home/campus) in the mid-afternoon gap before the study block,"Location entropy has been pronounced-low for 3 days and nearly all time is at familiar places. A brief, low-effort out-of-home slot introduces variety without disrupting fixed commitments and works against the narrowing location pattern.","behavioral-withdrawal, mobility_entropy, location_revisit_ratio","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S006,B,P002,2026-03-12,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 20:00 deadline work block (flexible),behavioral-withdrawal,,Keep study block flexible and add a 15-minute buffer before it.,The calendar has several obligations; a small buffer is a low-burden adjustment.,,No behavioral or clinical inference was made.,,,,,,
