case_id,participant_id,date,calendar_context,behavior_context,key_observations,rating_instruction,option_A_recommendation,option_A_reason,option_B_recommendation,option_B_reason,preferred_option_A_or_B,A_relevance_1_5,B_relevance_1_5,A_behavioral_alignment_1_5,B_behavioral_alignment_1_5,A_feasibility_1_5,B_feasibility_1_5,A_safety_1_5,B_safety_1_5,notes
S001,P001,2026-03-10,08:30-09:45 class (fixed); 10:30-11:15 project meeting (fixed); 15:00-17:00 study block (flexible); 21:00-22:30 optional work session (flexible),Sleep onset is drifting later alongside increased late-night screen use — a phone-mediated sleep-delay pattern. Evening calendar density and wind-down timing are plausible leverage points.,Sleep onset has been around 23:57 (about 0.7h later than typical 23:17); (yesterday only); Sleep has averaged 7.0h (0.4h shorter than typical 7.4h); drifting over the last 3d; Late-night screen use up 86% vs personal baseline (56min vs typical 30min); (yesterday only),"Compare Option A and Option B. Pick the option that is more useful, behavior-aware, feasible, and safe for this day.","End the 'optional work session' by 21:45 at the latest, and add a short Wind-down block from 21:45–22:15 (no work screens)","The optional work session currently runs until 22:30, which overlaps with the window where late-night screen use has been elevated. Capping active screen work ~45 min earlier and inserting a brief screen-free wind-down creates a buffer before the target sleep window, directly addressing the mechanism behind the phone-mediated-sleep-delay pattern.",Preserve study block but leave its exact start time adjustable.,"Without behavioral context, the safest recommendation is to maintain flexibility around a non-fixed event.",,,,,,,,,,
S002,P001,2026-03-11,08:30-09:45 class (fixed); 10:30-11:15 project meeting (fixed); 15:00-17:00 study block (flexible); 21:00-22:30 optional work session (flexible),Sleep onset is drifting later alongside increased late-night screen use — a phone-mediated sleep-delay pattern. Evening calendar density and wind-down timing are plausible leverage points.; Sleep schedule consistency has dropped; circadian rhythm is less stable than typical. Anchoring morning wake time and fixed daily events can help.,Sleep onset has been around 00:28 (about 1.2h later than typical 23:18); drifting over the last 3d; Sleep has averaged 6.7h (0.7h shorter than typical 7.4h); drifting over the last 3d; Sleep schedule has been less consistent (SRI 75 vs typical 84); drifting over the last 3d,"Compare Option A and Option B. Pick the option that is more useful, behavior-aware, feasible, and safe for this day.","Convert tonight's 'optional work session' (21:00–22:30) to end by 21:45, and add a 'Wind-down — screens off' block from 21:45 to 22:30","Late-night screen use has been running 78 min on 2 of the last 3 nights, directly overlapping this optional session window. Capping active screen work at 21:45 and protecting the remaining time as a wind-down buffer targets the most proximate driver of the delayed sleep onset, without cancelling the work session entirely.",Keep study block flexible and add a 15-minute buffer before it.,The calendar has several obligations; a small buffer is a low-burden adjustment.,,,,,,,,,,
S003,P001,2026-03-12,08:30-09:45 class (fixed); 10:30-11:15 project meeting (fixed); 15:00-17:00 study block (flexible); 21:00-22:30 optional work session (flexible),Sleep onset is drifting later alongside increased late-night screen use — a phone-mediated sleep-delay pattern. Evening calendar density and wind-down timing are plausible leverage points.; Sleep schedule consistency has dropped; circadian rhythm is less stable than typical. Anchoring morning wake time and fixed daily events can help.; Attention is more fragmented while sleep is shorter — attention costs typically rise when sleep debt accumulates. Worth protecting sleep opportunity over discretionary evening commitments.,Sleep onset has been around 01:04 (about 1.8h later than typical 23:18); sustained across the last 3d; Sleep has averaged 6.3h (1.1h shorter than typical 7.4h); sustained across the last 3d; Sleep schedule has been less consistent (SRI 70 vs typical 84); sustained across the last 3d,"Compare Option A and Option B. Pick the option that is more useful, behavior-aware, feasible, and safe for this day.",Add a short transition buffer after study block if the day feels crowded.,"The calendar includes multiple commitments, so a small transition buffer may reduce schedule friction.","Add a 'Wind-down — screens off' block at 22:30, replacing or capping the tail of the optional work session","Late-night screen use is 260% above baseline and has been the sustained driver of the ~1.8h sleep-onset delay. Ending the optional work session at 22:30 and marking it as a hard screen-off point creates a buffer before a target sleep onset closer to baseline (~23:15–23:30). The work session is already marked flexible, so this is a low-disruption change.",,,,,,,,,,
S004,P002,2026-03-10,08:30-09:45 class (fixed); 10:30-11:15 project meeting (fixed); 15:00-17:00 study block (flexible); 20:00-22:00 deadline work block (flexible),Location routine has narrowed and time concentrated at frequent places — a behavioral-withdrawal pattern often associated with lower mood and reduced third-place engagement.,Location routine more restricted than baseline (entropy 1.48 vs 1.87); drifting over the last 3d; More time at top-3 frequent places (70% vs typical 58%); (yesterday only),"Compare Option A and Option B. Pick the option that is more useful, behavior-aware, feasible, and safe for this day.","Relocate the afternoon study block (15:00–17:00) to a different venue — a library, café, or campus common area — rather than the usual spot","The 3-day drift toward fewer distinct locations suggests routine has narrowed. Shifting a flexible, already-scheduled block to a different physical space adds location variety with zero extra time cost, directly countering the withdrawal pattern without adding burden.",Add a short transition buffer after study block if the day feels crowded.,"The calendar includes multiple commitments, so a small transition buffer may reduce schedule friction.",,,,,,,,,,
S005,P002,2026-03-11,08:30-09:45 class (fixed); 10:30-11:15 project meeting (fixed); 15:00-17:00 study block (flexible); 20:00-22:00 deadline work block (flexible),Location routine has narrowed and time concentrated at frequent places — a behavioral-withdrawal pattern often associated with lower mood and reduced third-place engagement.,"Total screen time elevated (279min/day vs typical 242min, +15%); drifting over the last 3d; Location routine more restricted than baseline (entropy 1.14 vs 1.87); drifting over the last 3d; More time at top-3 frequent places (81% vs typical 58%); intermittently (2d of 3)","Compare Option A and Option B. Pick the option that is more useful, behavior-aware, feasible, and safe for this day.",Preserve study block but leave its exact start time adjustable.,"Without behavioral context, the safest recommendation is to maintain flexibility around a non-fixed event.",Add a recurring 'Get outside / change of scene' block at 12:30 (30 min) on days with no fixed midday commitments,"Mobility entropy is down sharply and location time is concentrated at familiar places. A brief, low-commitment midday prompt to leave the primary location on unstructured days directly targets the location-contraction component of the withdrawal cluster without requiring a large schedule change.",,,,,,,,,,
S006,P002,2026-03-12,08:30-09:45 class (fixed); 10:30-11:15 project meeting (fixed); 15:00-17:00 study block (flexible); 20:00-22:00 deadline work block (flexible),Location routine has narrowed and time concentrated at frequent places — a behavioral-withdrawal pattern often associated with lower mood and reduced third-place engagement.,"Total screen time elevated (293min/day vs typical 241min, +22%); sustained across the last 3d; Location routine more restricted than baseline (entropy 0.78 vs 1.86); sustained across the last 3d; More time at top-3 frequent places (92% vs typical 58%); sustained across the last 3d","Compare Option A and Option B. Pick the option that is more useful, behavior-aware, feasible, and safe for this day.",Add a short 'step outside' break block (15 min walk or errand outside home/campus) in the mid-afternoon gap before the study block,"Location entropy has been pronounced-low for 3 days and nearly all time is at familiar places. A brief, low-effort out-of-home slot introduces variety without disrupting fixed commitments and works against the narrowing location pattern.",Keep study block flexible and add a 15-minute buffer before it.,The calendar has several obligations; a small buffer is a low-burden adjustment.,,,,,,,,,,
S007,P003,2026-03-10,08:30-09:45 class (fixed); 10:30-11:15 project meeting (fixed); 15:00-17:00 study block (flexible); 21:00-22:30 optional work session (flexible),Sleep schedule consistency has dropped; circadian rhythm is less stable than typical. Anchoring morning wake time and fixed daily events can help.,Sleep schedule has been less consistent (SRI 78 vs typical 86); (yesterday only); Daily routine timing less regular (SRM 0.74 vs typical 0.83); (yesterday only),"Compare Option A and Option B. Pick the option that is more useful, behavior-aware, feasible, and safe for this day.",Keep study block flexible and add a 15-minute buffer before it.,The calendar has several obligations; a small buffer is a low-burden adjustment.,"Cap or remove the optional work session tonight — if kept, add a hard-stop reminder at 22:00 so wind-down can begin by 22:15","The optional work session (21:00–22:30) is the most likely candidate for extending wakefulness and delaying sleep onset tonight. Given that routine timing was less regular yesterday, anchoring an earlier end to the evening helps re-sync the daily schedule without requiring any morning changes.",,,,,,,,,,
S008,P003,2026-03-11,08:30-09:45 class (fixed); 10:30-11:15 project meeting (fixed); 15:00-17:00 study block (flexible); 21:00-22:30 optional work session (flexible),Sleep schedule consistency has dropped; circadian rhythm is less stable than typical. Anchoring morning wake time and fixed daily events can help.,Sleep onset has been around 00:16 (about 0.9h later than typical 23:24); (yesterday only); Sleep schedule has been less consistent (SRI 70 vs typical 86); intermittently (2d of 3); Daily routine timing less regular (SRM 0.65 vs typical 0.83); intermittently (2d of 3),"Compare Option A and Option B. Pick the option that is more useful, behavior-aware, feasible, and safe for this day.","End or convert the 'optional work session' to a hard stop at 21:45, and add a 30-minute Wind-down block from 22:00–22:30 (no screens / low-stimulation activity)","Sleep onset has drifted ~1 hour later and sleep regularity is down. The optional work session currently runs until 22:30, leaving very little buffer before the baseline sleep window. Capping work earlier and protecting a wind-down buffer creates a consistent pre-sleep anchor, which directly addresses the circadian-instability pattern.",Add a short transition buffer after study block if the day feels crowded.,"The calendar includes multiple commitments, so a small transition buffer may reduce schedule friction.",,,,,,,,,,
S009,P003,2026-03-12,08:30-09:45 class (fixed); 10:30-11:15 project meeting (fixed); 15:00-17:00 study block (flexible); 21:00-22:30 optional work session (flexible),Sleep schedule consistency has dropped; circadian rhythm is less stable than typical. Anchoring morning wake time and fixed daily events can help.,Sleep onset has been around 00:22 (about 1.0h later than typical 23:24); intermittently (1d of 3); Sleep has averaged 6.9h (0.6h shorter than typical 7.4h); intermittently (2d of 3); Sleep schedule has been less consistent (SRI 61 vs typical 86); sustained across the last 3d,"Compare Option A and Option B. Pick the option that is more useful, behavior-aware, feasible, and safe for this day.",Preserve study block but leave its exact start time adjustable.,"Without behavioral context, the safest recommendation is to maintain flexibility around a non-fixed event.","Convert tonight's 'optional work session' (21:00–22:30) to end at 21:30, and add a Wind-down block from 21:30–22:15","Sleep onset has been running ~1 hour late. Capping the optional work session earlier and inserting a wind-down buffer creates a consistent pre-sleep anchor that can help pull onset back toward the baseline 23:24 target, supporting recovery of the sleep regularity index.",,,,,,,,,,
S010,P004,2026-03-10,08:30-09:45 class (fixed); 10:30-11:15 project meeting (fixed); 15:00-17:00 study block (flexible); 13:00-14:00 lab prep (flexible); 19:30-21:30 problem set work (flexible),Attention is more fragmented while sleep is shorter — attention costs typically rise when sleep debt accumulates. Worth protecting sleep opportunity over discretionary evening commitments.,Sleep has averaged 7.1h (0.5h shorter than typical 7.6h); (yesterday only); Attention pattern more fragmented than baseline (1.4 vs 1.0 switches/active-min); (yesterday only),"Compare Option A and Option B. Pick the option that is more useful, behavior-aware, feasible, and safe for this day.","Add a 20-minute Wind-down buffer block at 21:30 (immediately after problem-set work ends) — no screens, light activity only","The problem-set block ends at 21:30. Adding a short screen-free buffer before bed reduces the risk of late-night screen use pushing sleep onset later, which would extend the current mild sleep shortfall into a second night and likely sustain the elevated app-switching pattern tomorrow.",Preserve study block but leave its exact start time adjustable.,"Without behavioral context, the safest recommendation is to maintain flexibility around a non-fixed event.",,,,,,,,,,
