case_id,option,participant_id,date,calendar_summary,layer_1_3_patterns_for_context,layer_4_patterns_for_context,recommendation,reason,grounded_in,safety_note,relevance_1_5,behavioral_alignment_1_5,feasibility_1_5,safety_1_5,specificity_1_5,overall_preferred_A_or_B
S001,A,P001,2026-03-10,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),phone-mediated-sleep-delay,phone-mediated-sleep-delay,Cap the 'optional work session' at 21:45 and add a 15-min Wind-down buffer block (21:45–22:00) as a soft reminder to close screens before the session ends,"The optional work session ends at 22:30, leaving under an hour before the user's baseline sleep onset (~23:17). Given that late-night screen use spiked yesterday and sleep onset drifted later, ending active screen work earlier and inserting a brief transition block reduces the risk of the session spilling into the delay window.","phone-mediated-sleep-delay, sleep_onset_hour, late_night_screen_min","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S001,B,P001,2026-03-10,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),phone-mediated-sleep-delay,,Preserve study block but leave its exact start time adjustable.,"Without behavioral context, the safest recommendation is to maintain flexibility around a non-fixed event.",,No fixed obligations were changed.,,,,,,
S002,A,P001,2026-03-11,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),"phone-mediated-sleep-delay, circadian-instability","phone-mediated-sleep-delay, circadian-instability-with-sleep-debt","End or convert the 'optional work session' (currently 21:00–22:30) to a hard stop at 21:30, freeing 21:30–22:30 as an unplugged wind-down block","The optional work session runs until 22:30, which directly overlaps with the late-night screen window driving delayed sleep onset. Capping active screen work at 21:30 and protecting the following hour as screen-light reduces the primary driver of the sleep delay pattern. The event is already marked flexible, so this is a low-disruption change.","phone-mediated-sleep-delay, late_night_screen_min, sleep_onset_hour","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S002,B,P001,2026-03-11,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),"phone-mediated-sleep-delay, circadian-instability",,Keep study block flexible and add a 15-minute buffer before it.,The calendar has several obligations; a small buffer is a low-burden adjustment.,,No behavioral or clinical inference was made.,,,,,,
S003,A,P001,2026-03-12,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),"phone-mediated-sleep-delay, circadian-instability, fragmented-attention-with-sleep-loss",,Add a short transition buffer after study block if the day feels crowded.,"The calendar includes multiple commitments, so a small transition buffer may reduce schedule friction.",,This suggestion is based only on calendar structure.,,,,,,
S003,B,P001,2026-03-12,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),"phone-mediated-sleep-delay, circadian-instability, fragmented-attention-with-sleep-loss","phone-mediated-sleep-delay, circadian-instability, fragmented-attention-with-sleep-loss",Replace or end the 'optional work session' (21:00–22:30) by 21:30 and add a Wind-down block from 21:30–22:30 — screen-free or low-stimulation activity only.,Late-night screen use is running 260% above baseline and is the most direct driver of the delayed sleep onset. The optional work session occupies exactly the window where screen activity is spiking. Capping it at 21:30 and protecting the remainder as wind-down time removes the primary opportunity for late-night screen use without touching any fixed commitments.,"phone-mediated-sleep-delay, late_night_screen_min, sleep_onset_hour","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S004,A,P002,2026-03-10,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 20:00 deadline work block (flexible),behavioral-withdrawal,behavioral-withdrawal,Add a short 'Change of scenery' walk or errand block (15–20 min) between the project meeting and the afternoon study block,A brief excursion to a less-frequented location during the natural gap in the schedule (11:15–15:00) is a low-effort way to interrupt the narrowing location routine without touching any fixed events or the evening deadline block.,behavioral-withdrawal,"Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S004,B,P002,2026-03-10,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 20:00 deadline work block (flexible),behavioral-withdrawal,,Add a short transition buffer after study block if the day feels crowded.,"The calendar includes multiple commitments, so a small transition buffer may reduce schedule friction.",,This suggestion is based only on calendar structure.,,,,,,
S005,A,P002,2026-03-11,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 20:00 deadline work block (flexible),behavioral-withdrawal,,Preserve study block but leave its exact start time adjustable.,"Without behavioral context, the safest recommendation is to maintain flexibility around a non-fixed event.",,No fixed obligations were changed.,,,,,,
S005,B,P002,2026-03-11,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 20:00 deadline work block (flexible),behavioral-withdrawal,behavioral-withdrawal,"Add a 15-min 'Step outside / change of scene' prompt block on a mid-week morning or lunch slot (e.g., 12:30–12:45) on a day with no back-to-back fixed commitments","Mobility entropy has narrowed pronouncedly over 3 days. A brief, low-effort prompt to leave the top-3 familiar locations — even a short walk — directly targets the location-narrowing component of the behavioral-withdrawal pattern without requiring significant schedule restructuring.","behavioral-withdrawal, mobility_entropy, location_revisit_ratio","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
