ID,Cluster,Category (The Folder),Paper Title,Paper Type,Main Mechanism (Tags),Filename/Link
8,Biological & Lifestyle,Sleep Hygiene,Circadian rhythm disruption and mental health,Clinical Practice Guideline,"Circadian Clock, Light Exposure, Mood",file:///Users/sanskriti/Downloads/Circadianrhythmdisruptionandmentalhealth.pdf 
31,Biological & Lifestyle,Dietary habits,Nutritional medicine as mainstream in psychiatry: Consensus position statement,Clinical Practice Guideline,,https://www.universiteitleiden.nl/binaries/content/assets/sociale-wetenschappen/psychologie/studenten/werving/proefcollege-isnpr-lancet-psychiatry.pdf 
,Biological & Lifestyle,Physical Activity,EPA guidance on physical activity as a treatment for severe mental illness,Clinical Practice Guideline,, https://pubmed.ncbi.nlm.nih.gov/30257806/
23,Biological & Lifestyle,Physical Activity,Exercise as medicine for depressive symptoms? A systematic review and meta-analysis,Meta-Analysis,,
24,Biological & Lifestyle,Sleep Hygiene,"The Effect of Lifestyle Interventions on Anxiety, Depression and Stress: A Systematic Review and Meta-Analysis of Randomized Clinical Trials",Meta-Analysis,"Circadian Rhythm, Stimulus Control",AASM_Insomnia.pdf
25,Biological & Lifestyle,Sleep Hygiene,Improving sleep quality leads to better mental health: A meta-analysis of randomised controlled trials,Meta-Analysis,"High Evidence: Sleep Quality, Depression, Anxiety",Improving sleep quality...
30,Biological & Lifestyle,Dietary habits,The Effects of Dietary Improvement on Symptoms of Depression and Anxiety: A Meta-Analysis of Randomized Controlled Trials,Meta-Analysis,,
,Biological & Lifestyle,Dietary habits,Healthy dietary indices and risk of depressive outcomes: a systematic review and meta-analysis,Meta-Analysis,,
,Biological & Lifestyle,Physical Activity,The Effect of Mindfulness-based Programs on Cognitive Function in Adults,Meta-Analysis,,https://pubmed.ncbi.nlm.nih.gov/34350544/
11,Biological & Lifestyle,Dietary habits,A modified Mediterranean dietary intervention for adults with major depression: Dietary protocol and feasibility data from the SMILES trial,Protocol,,
26,Biological & Lifestyle,Sleep Hygiene,"Sleep physiology, pathophysiology, and sleep hygiene",Protocol,"Contains Actionable Info: Sleep Hygiene Rules, Physiology",Sleep physiology...
,Biological & Lifestyle,Dietary habits,Feed your microbes to deal with stress: a psychobiotic diet impacts microbial stability and perceived stress in a healthy adult population,Protocol,,
,Biological & Lifestyle,Sleep Hygiene,Sleep Restriction Therapy,Protocol,,https://www.med.upenn.edu/cbti/assets/user-content/documents/btsd--advancedsleeprestriction-spielman.pdf
,Biological & Lifestyle,Physical Activity,HIIT as a Tool for Improving Mental Health and Cognition,Protocol,,https://www.researchgate.net/publication/354287956_HIIT_as_a_Tool_for_Improving_Mental_Health_and_Cognition
,Biological & Lifestyle,Physical Activity,Treatment of Major Depressive Disorder with Iyengar Yoga and Coherent Breathing,Protocol,,https://pubmed.ncbi.nlm.nih.gov/28296480/
7,Cognitive & Psychological,Biofeedback,Sustained attention in adult ADHD: time-on-task effects of various measures of attention,Clinical Practice Guideline,"Autonomic Control, Vigilance Monitoring",
10,Cognitive & Psychological,Cognitive Behavioral Therapy,"Behavioural activation: history, evidence and promise",Clinical Practice Guideline,Behavioral Activation Theory,
18,Cognitive & Psychological,Mindfulness/Meditation,"Human Attention Restoration, Flow, and Creativity: A Conceptual Integration",Clinical Practice Guideline,Attention Restoration Theory (ART),
19,Cognitive & Psychological,Mindfulness/Meditation,Effortless training of attention and self-control: Mechanisms and applications,Clinical Practice Guideline,"Parasympathetic Dominance, ACC Control",
